,listing-number,listing-status,title,Monetization,Price,Monthly Net Profit,Monthly Revenue,Monthly Multiple,Business Created
0,#66756,New Listing,"Information, Technology",Affiliate,"$301,135.00","$6,692.00","$6,837.00",45x,2018
1,#66848,New Listing,Culinary,Display Advertising,"$240,992.00","$5,127.00","$5,402.00",47x,2016
2,#66617,New Listing,"Technology, Information","Display Advertising, Amazon Associates","$176,216.00","$4,005.00","$4,300.00",44x,2017
3,#66759,New Listing,"Information, Employment","Amazon Associates, Display Advertising, Amazon KDP, Affiliate, Digital Product","$155,774.00","$4,210.00","$4,433.00",37x,2016
4,#66929,New Listing,"Food & Beverages, Kitchenware, Home","Display Advertising, Amazon Associates","$141,833.00","$3,377.00","$3,475.00",42x,2020
5,#66720,New Listing,"Outdoors, Automotive","Amazon FBA, eCommerce","$120,395.00","$3,168.00","$10,847.00",38x,2020
6,#66404,New Listing,"Coupons, Retail & Wholesale","Display Advertising, Amazon Associates","$85,498.00","$2,850.00","$3,557.00",30x,2010
7,#62813,For Sale,Baby Care,eCommerce,"$15,324,291.00","$437,837.00","$1,225,534.00",35x,2019
8,#61148,For Sale,"Jewelry, Religion & Spirituality, Personal Care","Subscription-Box, eCommerce","$13,684,860.00","$279,283.00","$1,547,253.00",49x,2018
9,#60679,For Sale,Occasions & Gifts,eCommerce,"$4,546,225.00","$126,284.00","$651,573.00",36x,2020
10,#64618,For Sale,"Health & Fitness, Equipment","Amazon FBA, eCommerce","$4,353,037.00","$145,101.00","$1,160,172.00",30x,2017
11,#65976,For Sale,Apparel & Accessories,Amazon FBA,"$3,983,601.00","$97,161.00","$650,352.00",41x,2010
12,#65410,For Sale,"Beauty, Personal Care, Equipment",eCommerce,"$3,955,858.00","$109,885.00","$415,668.00",36x,2017
13,#64723,For Sale,"Occasions & Gifts, Home",Amazon FBA,"$3,343,953.00","$74,310.00","$210,515.00",45x,2017
14,#61100,For Sale,Gaming,"Display Advertising, Service","$3,270,678.00","$76,062.00","$541,284.00",43x,2018
15,#64332,For Sale,"Beauty, Personal Care",Amazon FBA,"$3,122,394.00","$65,050.00","$262,248.00",48x,2013
16,#65401,For Sale,"Lifestyle, Culinary",Amazon KDP,"$2,806,834.00","$58,476.00","$166,896.00",48x,2019
17,#64877,Pending Sold,"Outdoors, Equipment, Pet Care","Amazon FBA, Amazon FBM, eCommerce","$2,589,922.00","$53,957.00","$194,110.00",48x,2020
